date,zone,site,plot,pit,spp,sex,sv_length,total_length,weight,tail
6/16/89,C,CALI,A,4,CNTI,M,92,260,26,B
6/16/89,C,CALI,A,8,UTST,J,49,86,6,B
6/16/89,C,SAND,B,2,CNTI,M,91,310,24,W
6/16/89,C,SAND,B,8,CNTI,F,93,305,25,W
6/16/89,C,SAND,C,2,CNTI,M,94,270,24,B
6/16/89,G,BASN,B,1,CNTI,F,90,304,22,W
6/16/89,G,BASN,B,2,UTST,F,42,50,3,B
6/16/89,G,BASN,B,8,CNTE,J,72,265,9,W
6/16/89,G,BASN,B,9,CNTE,F,86,294,16,W
6/16/89,G,BASN,B,10,CNTI,M,70,240,9,W
6/16/89,G,BASN,B,11,CNTI,F,82,274,16,W
6/16/89,G,BASN,B,16,CNTI,F,94,308,21,W
6/16/89,G,IBPE,A,.,NONE,.,.,.,.,.
6/16/89,G,IBPE,C,3,CNTI,F,87,260,19,W
6/16/89,M,RABB,A,15,CNTI,F,100,250,26,B
6/16/89,M,RABB,C,1,CNTI,F,75,265,16,W
6/16/89,M,WELL,B,.,NONE,.,.,.,.,.
6/16/89,T,EAST,B,9,CNTI,F,84,294,17,W
6/16/89,T,EAST,B,13,CNTI,M,92,268,20,B
6/16/89,T,EAST,B,16,CNTI,M,90,300,22,W
6/20/89,C,CALI,A,2,UTST,.,.,.,.,W
6/20/89,C,CALI,A,16,CNTI,F,90,305,.,W
6/20/89,C,SAND,B,7,CNTI,M,90,315,24,W
6/20/89,C,SAND,C,1,UTST,.,22,54,.,W
6/20/89,C,SAND,C,5,CNTI,M,96,276,26,B
6/20/89,C,SAND,C,11,UTST,.,18,.,.,W
6/20/89,C,SAND,C,12,UTST,F,46,125,4,W
6/20/89,C,SAND,C,16,CNTI,M,97,320,28,W
6/20/89,G,BASN,B,.,PHCO,F,60,80,14,W
6/20/89,G,BASN,B,1,CNTI,M,96,300,.,.
6/20/89,G,BASN,B,9,CNTI,M,76,270,12,W
6/20/89,G,BASN,B,14,HOMA,M,62,134,7,W
6/20/89,G,BASN,B,15,CNTE,F,82,260,16,W
6/20/89,G,IBPE,A,.,NONE,.,.,.,.,.
6/20/89,G,IBPE,C,.,NONE,.,.,.,.,.
6/20/89,M,RABB,A,1,CNTI,F,90,290,21,W
6/20/89,M,RABB,A,1,UTST,F,47,60,4,B
6/20/89,M,RABB,A,2,CNTI,M,90,302,20,W
6/20/89,M,RABB,C,2,CNTI,F,96,300,30,B
6/20/89,M,RABB,C,7,CNTI,M,90,306,22,W
6/20/89,M,WELL,B,5,CNNE,F,63,210,8,W
6/20/89,M,WELL,B,7,UTST,F,46,124,5,W
6/20/89,M,WELL,B,10,CNTI,J,72,270,13,W
6/20/89,M,WELL,B,10,SCUN,F,60,120,8,B
6/20/89,T,EAST,B,1,UTST,F,50,128,5,B
6/20/89,T,EAST,B,4,CNTI,M,100,310,26,W
6/20/89,T,EAST,B,4,UTST,M,52,140,6,W
6/20/89,T,EAST,B,8,CNTI,F,85,285,27,W
6/20/89,T,EAST,B,16,CNTI,M,92,200,24,B
6/23/89,C,CALI,A,4,CNTI,F,86,300,16,W
6/23/89,C,CALI,A,8,UTST,J,22,64,1,W
6/23/89,C,CALI,A,11,COTE,M,58,127,6,W
6/23/89,C,SAND,B,7,UTST,J,21,50,1,W
6/23/89,C,SAND,B,9,UTST,J,22,28,1,B
6/23/89,C,SAND,B,12,UTST,J,21,55,1,W
6/23/89,C,SAND,C,1,CNTI,F,67,245,8,W
6/23/89,C,SAND,C,8,UTST,J,22,50,1,W
6/23/89,C,SAND,C,14,CNTI,M,89,260,17,B
6/23/89,G,BASN,B,.,NONE,.,.,.,.,.
6/23/89,G,IBPE,A,16,UTST,F,46,115,4,W
6/23/89,G,IBPE,C,.,NONE,.,.,.,.,.
6/23/89,M,RABB,C,7,CNTI,F,80,245,19,W
6/23/89,M,RABB,C,13,CNTI,F,75,265,12,W
6/23/89,M,WELL,B,4,UTST,M,49,75,4,B
6/23/89,M,WELL,B,15,UTST,M,56,140,6,W
6/23/89,T,EAST,B,3,CNTI,M,80,274,14,W
6/23/89,T,EAST,B,8,CNTI,F,90,205,22,B
6/23/89,T,EAST,B,10,CNTI,M,92,305,24,W
6/23/89,T,EAST,B,11,CNTI,M,90,270,18,W
6/23/89,T,EAST,B,15,CNTI,M,88,290,20,W
6/23/89,T,WEST,A,6,CNTI,F,75,243,10,W
6/23/89,T,WEST,A,8,CNTI,M,90,315,22,W
6/23/89,T,WEST,A,10,SCUN,M,67,165,8,W
6/27/89,C,CALI,A,8,UTST,J,.,.,.,W
6/27/89,C,SAND,B,5,CNTI,F,80,265,19,W
6/27/89,C,SAND,B,9,UTST,J,27,70,1,B
6/27/89,C,SAND,B,13,EUOB,F,97,275,30,W
6/27/89,C,SAND,C,.,NONE,.,.,.,.,.
6/27/89,G,BASN,B,.,NONE,.,.,.,.,.
6/27/89,G,IBPE,A,8,UTST,J,27,65,1,W
6/27/89,G,IBPE,C,3,UTST,J,22,47,1,B
6/27/89,G,IBPE,C,10,UTST,M,52,131,7,W
6/27/89,G,IBPE,C,15,UTST,J,21,45,.,W
6/27/89,M,RABB,A,15,CNTI,F,81,285,19,W
6/27/89,M,RABB,C,15,UTST,J,.,.,.,.
6/27/89,M,RABB,C,16,CNTI,.,.,.,.,W
6/27/89,M,WELL,B,.,NONE,.,.,.,.,.
6/27/89,T,EAST,B,4,UTST,.,23,55,1,W
6/27/89,T,EAST,B,4,UTST,F,50,115,7,W
6/27/89,T,EAST,B,7,CNTI,F,82,295,12,W
6/27/89,T,EAST,B,10,CNTI,F,85,284,13,W
6/27/89,T,EAST,B,12,UTST,.,23,65,.,W
6/27/89,T,WEST,A,10,CNTI,M,78,245,16,W
6/27/89,T,WEST,A,15,CNTI,F,71,251,13,W
